cod;nombre;tipo;grupo;zona;lat;lon;exp_fob_usd;imp_cif_usd;total_usd;peso_exp_kg;peso_imp_kg;balance_usd;top_destino;top_origen;top_tipo_exp;top_tipo_imp
906;SAN ANTONIO;Puerto marítimo;maritimo;América del Sur;-33.59;-71.61;14215522923.6;28646608637.8;42862131561.3;5104157462.6;8965192350.8;14431085714.2;China;China;Minería;Resto No combustibles
207;PUERTO ANGAMOS;Puerto marítimo;maritimo;América del Sur;-23.06;-70.43;17973282489.6;4507402666.1;22480685155.7;2580803008.2;451673123.8;-13465879823.6;Estados Unidos de América;Estados Unidos de América;Minería;Maquinarias, aparatos y sus partes
992;AEROP. A.M. BENITEZ;Aeropuerto;aereo;América del Sur;-33.39;-70.79;8426909597.1;11272483169.4;19699392766.5;708330096.5;853546085.2;2845573572.4;Estados Unidos de América;China;Minería;Resto No combustibles
905;VALPARAÍSO;Puerto marítimo;maritimo;América del Sur;-33.04;-71.63;8347992568.5;7489975585.7;15837968154.2;3606771184.8;2672439392.4;-858016982.8;China;China;Frutas y frutos ;Resto No combustibles
950;CALETA COLOSO;Puerto marítimo;maritimo;América del Sur;-23.758;-70.47;11129636827.4;0.0;11129636827.4;4355978431.2;0.0;-11129636827.4;China;;Minería;
965;LOS LIBERTADORES;Avanzada fronteriza;terrestre;América del Sur;-32.84;-70.08;1863690891.2;6674472470.3;8538163361.5;899044223.1;3214424432.3;4810781579.2;Argentina;Brasil;Resto No minería;Alimentos
908;SAN VICENTE;Puerto marítimo;maritimo;América del Sur;-36.73;-73.13;5016003566.0;1112686381.3;6128689947.4;3390956651.7;1420670175.3;-3903317184.7;Estados Unidos de América;Estados Unidos de América;Productos del mar;Combustibles y lubricantes minerales
903;ANTOFAGASTA;Puerto marítimo;maritimo;América del Sur;-23.65;-70.4;4399198844.6;1166277837.7;5565476682.3;971846996.5;975461685.4;-3232921006.9;China;China;Minería;Resto No combustibles
921;QUINTERO;Puerto marítimo;maritimo;América del Sur;-32.78;-71.53;119344225.7;4478447451.0;4597791676.8;253643538.8;7321509400.5;4359103225.3;Estados Unidos de América;Estados Unidos de América;Resto No minería;Combustibles y lubricantes minerales
909;LIRQUÉN;Puerto marítimo;maritimo;América del Sur;-36.71;-72.98;3669003037.8;849994659.3;4518997697.1;4303682114.3;725698150.8;-2819008378.5;China;China;Forestales y sus derivados;Resto No combustibles
926;CORONEL;Puerto marítimo;maritimo;América del Sur;-37.03;-73.15;3694115942.4;780615790.6;4474731733.0;2633599431.5;684367362.0;-2913500151.7;Estados Unidos de América;Estados Unidos de América;Productos del mar;Resto No combustibles
915;MEJILLONES;Puerto marítimo;maritimo;América del Sur;-23.1;-70.45;1974305049.3;2468886931.1;4443191980.4;943482200.1;7347207626.9;494581881.8;China;Estados Unidos de América;Minería;Combustibles y lubricantes minerales
948;VENTANAS;Puerto marítimo;maritimo;América del Sur;-32.75;-71.48;3458355326.4;376440654.1;3834795980.5;1760514511.5;1646649652.0;-3081914672.2;China;Japón;Minería;Resto No combustibles
918;CALDERA;Puerto marítimo;maritimo;América del Sur;-27.067;-70.823;3363691980.0;240278321.7;3603970301.7;8426464444.0;329995059.7;-3123413658.3;China;Estados Unidos de América;Minería;Combustibles y lubricantes minerales
204;PATACHE;Puerto marítimo;maritimo;América del Sur;-20.81;-70.2;3577175074.4;0.0;3577175074.4;4165932356.0;0.0;-3577175074.4;China;;Minería;
199;LOS VILOS;Puerto marítimo;maritimo;América del Sur;-31.911;-71.51;3277951898.8;0.0;3277951898.8;1309902795.0;0.0;-3277951898.8;China;;Minería;
902;IQUIQUE;Puerto marítimo;maritimo;América del Sur;-20.213;-70.152;739705249.0;1424865723.3;2164570972.3;279728891.9;130887088.1;685160474.2;China;China;Minería;Maquinarias, aparatos y sus partes
907;TALCAHUANO;Puerto marítimo;maritimo;América del Sur;-36.72;-73.11;178891233.4;1452586214.7;1631477448.1;242244986.2;2773777287.7;1273694981.3;Estados Unidos de América;Brasil;Resto No minería;Combustibles y lubricantes minerales
904;COQUIMBO;Puerto marítimo;maritimo;América del Sur;-29.95;-71.34;1014370293.1;181817513.7;1196187806.8;467760493.5;31263287.5;-832552779.4;China;Estados Unidos de América;Minería;Medios de transporte y sus partes
957;CHACALLUTA;Avanzada fronteriza;terrestre;América del Sur;-18.35;-70.34;333999926.6;831850857.9;1165850784.5;241869415.3;321905733.6;497850931.3;Perú;Perú;Resto No minería;Otros productos relevantes
917;CHAÑARAL / BARQUITO;Puerto marítimo;maritimo;América del Sur;-26.36;-70.66;793735205.5;78400867.0;872136072.5;212018809.0;250989015.8;-715334338.5;Estados Unidos de América;Estados Unidos de América;Minería;Combustibles y lubricantes minerales
949;PINO HACHADO (LIUCURA);Avanzada fronteriza;terrestre;América del Sur;-38.66;-70.89;618042209.3;238690118.2;856732327.5;132728680.1;364417548.7;-379352091.0;Brasil;Argentina;Productos del mar;Resto No combustibles
942;CABO NEGRO;Puerto marítimo;maritimo;América del Sur;-52.95;-70.8;582036600.9;59934277.6;641970878.5;1570423159.0;186959235.0;-522102323.4;Brasil;Argentina;Otros productos relevantes;Combustibles y lubricantes minerales
920;HUASCO / GUACOLDA;Puerto marítimo;maritimo;América del Sur;-28.46;-71.22;509663503.1;121648971.6;631312474.7;5119430515.4;1101237125.0;-388014531.6;China;Colombia;Minería;Combustibles y lubricantes minerales
901;ARICA;Puerto marítimo;maritimo;América del Sur;-18.476;-70.323;337263702.6;254998237.3;592261939.9;169053086.9;168477071.0;-82265465.2;Brasil;China;Resto No minería;Maquinarias, aparatos y sus partes
910;PUERTO MONTT;Puerto marítimo;maritimo;América del Sur;-41.48;-72.94;107060350.7;440711520.0;547771870.7;360902417.6;772641432.2;333651169.3;Noruega;Estados Unidos de América;Resto No minería;Otros productos relevantes
914;TOCOPILLA;Puerto marítimo;maritimo;América del Sur;-22.092;-70.197;518055556.5;0.0;518055556.5;749618483.0;0.0;-518055556.5;México;;Otros productos relevantes;
981;MONTE AYMOND;Avanzada fronteriza;terrestre;América del Sur;-52.16;-69.49;485563986.1;7083331.1;492647317.1;73594069.0;1105494.0;-478480655.0;Brasil;Argentina;Productos del mar;Resto No combustibles
